filename,rmse,chroma_stft,spec_cent,spec_bw,rolloff,zcr,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,Class
Vidwan Lalgudi GJR Krishnan and Lalgudi Vijayalakshmi - Sadananda Tandavam.mp3-6,0.014688621,0.348423687,1628.05804,1894.698533,3073.681414,0.087490023,-369.2957427,127.5417382,-12.39743552,20.1826283,-2.643131067,7.164535803,-4.662866492,5.942552066,-11.20584758,-6.387165816,-5.36249095,2.282864252,-8.546668531,-5.436393005,-0.375657957,3.876956634,-2.77728863,2.797093451,2.734746236,3.221155398,bahudari
Vidwan Lalgudi GJR Krishnan and Lalgudi Vijayalakshmi - Sadananda Tandavam.mp3-7,0.039428379,0.23456456,1801.46469,1966.825164,3556.195163,0.087324491,-287.1287348,105.6532371,-18.61379089,28.38295569,-6.184762908,7.62880422,2.398856216,2.596299399,-11.46907619,0.233768005,-7.338600287,0.296619615,-2.633816474,-3.599051278,0.990037133,15.337987,7.319126051,9.235463006,6.806763339,3.376915088,bahudari
Vidwan Lalgudi GJR Krishnan and Lalgudi Vijayalakshmi - Sadananda Tandavam.mp3-8,0.056426741,0.24706028,1720.302909,1937.473716,3502.828819,0.077394846,-235.4003812,112.1662457,-21.507444,30.88738159,-4.264817647,9.628847301,2.316921726,2.06130034,-8.929006322,3.050118093,-7.713594475,1.059374169,-1.01464393,-1.30293834,2.147395557,15.73220104,4.945600945,10.94543011,6.625041686,1.963509925,bahudari
Vidwan Lalgudi GJR Krishnan and Lalgudi Vijayalakshmi - Sadananda Tandavam.mp3-9,0.055548288,0.244701617,2176.9068,2122.489722,4217.274499,0.109712866,-198.90469,89.40618868,-28.70692034,27.84287496,-5.640423628,6.156467007,-2.286055287,-0.37729541,-11.08583247,4.573601343,-8.097335517,0.243475668,0.210309477,0.143652967,0.330197156,17.51357742,4.576952953,11.40356424,6.921268339,1.908718699,bahudari
Vidwan Lalgudi GJR Krishnan and Lalgudi Vijayalakshmi - Sadananda Tandavam.mp3-10,0.043334935,0.238100456,1960.451208,2125.416584,4113.208461,0.081754608,-240.5467122,103.3338387,-20.73992203,25.62500887,-3.26900516,7.865710731,0.651495976,2.002152279,-12.75615942,2.790223142,-5.888327266,4.987952183,-2.855657724,-1.045055365,-0.123715691,13.79633099,2.573811972,7.732261327,7.237069734,5.003133081,bahudari
Vidwan Lalgudi GJR Krishnan and Lalgudi Vijayalakshmi - Sadananda Tandavam.mp3-11,0.042471182,0.285028213,2384.16164,2315.152221,4793.537681,0.128696879,-218.2778542,82.19864895,-22.25498322,18.33220233,-1.536570844,12.14003175,-0.511772993,1.723926862,-14.7860889,3.129382184,-2.937125261,10.62217193,5.979251248,6.720794191,-1.487538031,7.780838753,-3.577824116,1.979880299,-0.988392658,3.240775428,bahudari
Vidwan Lalgudi GJR Krishnan and Lalgudi Vijayalakshmi - Sadananda Tandavam.mp3-12,0.069835536,0.290474069,2140.064511,2254.1677,4367.556923,0.104218569,-186.9629154,91.32601266,-14.27739276,28.14409904,2.273140564,12.25429403,1.453584661,2.534246155,-12.31913278,6.774079503,-4.283435038,7.164642359,1.191736211,-0.430848409,-2.005386939,7.367734274,-3.508036877,1.698098222,5.539669963,2.334348019,bahudari
Vidwan Lalgudi GJR Krishnan and Lalgudi Vijayalakshmi - Sadananda Tandavam.mp3-13,0.064886227,0.272516481,2254.625666,2234.650686,4455.956389,0.117628162,-179.968806,87.81469353,-20.18349875,24.84268933,-2.836603581,9.040545723,-0.830070516,2.855386956,-14.4559174,5.825823404,-3.643858408,6.562477804,4.438238598,5.215429615,-2.27509077,8.284435378,-4.242868893,4.445094598,3.085195434,2.22812218,bahudari
Vidwan Lalgudi GJR Krishnan and Lalgudi Vijayalakshmi - Sadananda Tandavam.mp3-14,0.069342785,0.250126474,2018.212336,2107.783168,4033.925607,0.098828579,-193.6676966,96.01303845,-21.9122949,31.19079503,-3.530857085,5.686784753,-0.216990667,0.484363051,-13.49481023,3.336220861,-6.449739916,2.428646181,4.185121118,-0.735359937,-2.72209641,11.02918168,-2.391210067,5.191574463,4.796981036,1.827332152,bahudari
Vidwan Lalgudi GJR Krishnan and Lalgudi Vijayalakshmi - Sadananda Tandavam.mp3-15,0.046431012,0.261435856,1802.960101,1962.706413,3599.094903,0.088159709,-243.8209661,106.4822008,-22.43407365,30.89261905,-4.703810823,5.825519955,1.690391542,0.329312614,-9.727368177,2.001408632,-7.421731715,-2.779020262,-0.081773414,-4.656284597,0.653894652,11.86843361,4.649905023,8.583806302,7.880977143,0.136842694,bahudari
Vidwan Lalgudi GJR Krishnan and Lalgudi Vijayalakshmi - Sadananda Tandavam.mp3-16,0.054058176,0.287422068,1820.092673,2076.192623,3781.110469,0.075271654,-216.7374293,113.0101941,-17.89080078,23.47795588,-2.003997456,8.030361916,-0.567154451,6.895203658,-10.9685436,0.172447286,-5.450328706,5.728160024,1.201394104,1.89653437,-1.888573615,11.38226858,1.53014357,4.677978036,0.607351573,1.755033746,bahudari
Vidwan Lalgudi GJR Krishnan and Lalgudi Vijayalakshmi - Sadananda Tandavam.mp3-17,0.054040454,0.254180649,2195.479268,2210.927081,4412.773317,0.102797564,-197.4120227,95.29932312,-23.84173374,16.13404625,-7.529151241,7.638237124,-2.290470977,4.41830292,-13.52392266,2.448291641,-1.221550526,9.564110467,6.070408169,4.035916196,-4.350305292,10.91098894,0.779931776,5.569142693,1.04044256,0.790029283,bahudari
Vidwan Lalgudi GJR Krishnan and Lalgudi Vijayalakshmi - Sadananda Tandavam.mp3-18,0.061626598,0.268242109,1834.541854,2022.076366,3727.894125,0.078996499,-209.3619,108.4736686,-20.35343911,26.45786059,-5.868237813,6.002071248,-0.501762,7.147607311,-11.76498593,-2.542935771,-3.929441297,4.603882562,3.818240359,2.661828027,-0.16284698,13.75235873,6.159308736,7.035418065,2.864336661,-0.178682517,bahudari
Vidwan Lalgudi GJR Krishnan and Lalgudi Vijayalakshmi - Sadananda Tandavam.mp3-19,0.058559749,0.248028206,1824.322652,2058.999304,3732.677429,0.07788993,-224.430349,104.897106,-14.7165473,32.95854701,-4.095889261,6.042694565,0.344999216,3.415814744,-6.701082138,3.136673715,-8.240146416,0.765997595,-2.518870399,-2.927022399,-0.720948616,10.31549903,4.805506091,6.089207113,6.524418524,2.346600238,bahudari
Vidwan Lalgudi GJR Krishnan and Lalgudi Vijayalakshmi - Sadananda Tandavam.mp3-20,0.066600256,0.251690151,1894.454465,2161.098151,3929.442906,0.07910383,-207.3313812,99.50127279,-8.734876048,38.86626952,-0.323939413,4.495770738,0.397895044,-2.024370678,-7.937946065,8.047737758,-13.65975349,-0.742158219,-3.050149808,-8.92824597,-5.513460733,6.732292752,-1.338619401,1.624025488,6.975034047,0.65983942,bahudari
Lalgudi Jayaraman - Brovabharama.mp3-1,0.059386652,0.199151233,1886.955253,1716.297562,3521.645372,0.109228364,-265.1694752,95.40469269,-47.27190835,36.38043706,-18.76015754,-2.978146448,-10.5187954,-10.23118571,-20.89793034,-14.30730909,-11.91650345,1.401231806,4.895790948,-2.088561984,4.841900464,11.01939109,13.27238427,10.8866203,-0.285241629,-12.02354152,bahudari
Lalgudi Jayaraman - Brovabharama.mp3-2,0.080092393,0.225047163,1774.801788,1635.023807,3320.579921,0.101758266,-218.8118209,109.033512,-50.50333295,37.20071103,-18.60985989,-1.013646711,-15.69806691,-9.0775873,-20.31141489,-15.20887996,-10.1335943,-0.32704585,1.750638405,-4.27938296,2.019409335,8.551464661,8.406511667,7.780091605,-4.009333677,-12.03145902,bahudari
Lalgudi Jayaraman - Brovabharama.mp3-3,0.093275279,0.235846708,1778.310386,1667.349865,3326.196554,0.096489968,-188.8305869,111.0870222,-50.4458142,32.92318851,-15.84273586,-1.596114263,-17.37037591,-7.029276533,-20.31128077,-15.19329947,-8.506416616,-0.283482593,-0.204163296,-5.565414906,-2.59430347,5.670465335,2.851320983,5.399789415,-2.600906861,-8.879505188,bahudari
Lalgudi Jayaraman - Brovabharama.mp3-4,0.127362743,0.211319404,1863.373054,1674.760402,3420.46265,0.104899592,-167.7946708,101.2184391,-54.42900466,34.09196257,-15.84099267,-1.91277449,-19.13620682,-8.760046248,-21.33968733,-13.11524813,-10.00767146,1.564287769,1.107534907,-6.983992474,-4.525116828,4.636369896,1.218335471,2.923988335,-3.324373578,-8.426113399,bahudari
Lalgudi Jayaraman - Brovabharama.mp3-5,0.128290743,0.210202854,1818.558799,1649.905884,3343.379783,0.098713689,-162.3597164,105.5169662,-54.86999044,32.17569543,-16.19477763,-2.124674332,-19.15766215,-10.78451631,-20.38635834,-12.77255042,-9.138750737,3.74316549,0.839375376,-8.637157316,-6.62714178,3.378087244,-0.222080847,1.134266923,-4.023961436,-7.532695271,bahudari
Lalgudi Jayaraman - Brovabharama.mp3-6,0.129807279,0.219348205,1821.122479,1639.466054,3364.31299,0.104985004,-161.4358563,105.8310295,-54.94553889,30.67744605,-18.03159996,-0.363521898,-18.76746127,-12.00055221,-21.55352966,-12.34857023,-9.425182258,4.853471527,1.457770806,-11.49641017,-6.411204717,1.985676911,0.62179175,4.385071275,-5.633232245,-9.121498788,bahudari
Lalgudi Jayaraman - Brovabharama.mp3-7,0.122268073,0.220804039,1942.093813,1671.80701,3540.878589,0.119435408,-167.9676076,96.9159962,-57.29786912,36.23939373,-17.84198801,0.075132191,-21.31064276,-11.69871036,-22.16333875,-11.98294317,-10.93857225,4.879892012,-0.157917389,-10.85766633,-2.923766837,3.618143217,1.353332715,4.004451849,-8.097435106,-7.667347089,bahudari
Lalgudi Jayaraman - Brovabharama.mp3-8,0.13980487,0.221720466,2045.179117,1687.824675,3670.461139,0.129415695,-155.8896265,88.23411135,-58.95177551,38.00815711,-19.66776403,1.630923741,-20.33990132,-9.884137726,-23.02520278,-13.95410346,-11.39915104,3.463071809,-0.30760192,-9.113961765,-0.582283753,7.674100157,4.696119864,4.483472825,-9.148880589,-8.158838912,bahudari
Lalgudi Jayaraman - Brovabharama.mp3-9,0.146434695,0.216649502,1973.660329,1670.770535,3586.578312,0.11644374,-155.1829729,90.48514193,-62.09429374,34.63884451,-21.74944926,1.036325401,-20.63064943,-11.05063943,-23.61981162,-15.57395609,-12.81239274,2.613895079,-1.6535729,-10.35829787,-0.315477725,7.97446498,6.070949539,4.85820411,-7.720501563,-7.582066815,bahudari
Lalgudi Jayaraman - Brovabharama.mp3-10,0.139727071,0.219969552,1947.845759,1676.990243,3547.728547,0.113967565,-157.617318,93.25420821,-57.85911209,33.05723613,-19.1431565,0.026883154,-19.70873351,-10.73846348,-20.94169234,-14.43933823,-12.02742628,2.025611398,-1.309502711,-9.728837299,1.283845518,9.645909563,6.373923824,4.440873678,-7.548771326,-8.359200994,bahudari
Lalgudi Jayaraman - Brovabharama.mp3-11,0.125365078,0.215733687,1880.572086,1702.144692,3517.745395,0.103607839,-167.0180785,96.00374984,-52.09922574,38.52027703,-15.08748389,0.668035806,-19.18631856,-9.338584971,-22.7746515,-16.67632498,-14.02849693,1.200305385,-3.773284257,-11.41242374,-0.433515429,10.60310222,7.738289398,5.237150772,-4.770483652,-7.554991394,bahudari
Lalgudi Jayaraman - Brovabharama.mp3-12,0.114605188,0.188930049,2053.912276,1725.356274,3764.827235,0.135780736,-164.4437665,90.05703011,-56.87457293,40.26621204,-18.27262652,0.692757776,-20.59998692,-8.82844153,-27.84380616,-14.77778351,-11.22649732,4.416219511,-2.195756312,-11.92023358,-3.549136528,-0.450175736,-3.461076165,-1.259281496,-9.415544191,-0.575555461,bahudari
Lalgudi Jayaraman - Brovabharama.mp3-13,0.161543116,0.215031643,2141.271284,1704.474359,3806.276984,0.143104199,-128.4811934,86.88214383,-62.90638601,37.01310062,-21.81939526,-0.087619123,-19.90442135,-8.754168984,-27.46220364,-12.15091774,-6.560420713,10.52329108,6.136136187,-8.09019588,-4.165510735,-1.815956339,-3.85119492,-0.372484285,-11.14063713,-4.846319521,bahudari
Lalgudi Jayaraman - Brovabharama.mp3-14,0.162291691,0.210913542,2103.750466,1699.857478,3748.97733,0.130643957,-145.0831323,89.56350463,-59.92937652,34.19768424,-22.23547107,1.122148285,-19.62969838,-8.69374873,-25.13869604,-7.74550601,-3.266054789,10.81678909,6.375766148,-6.799714503,-4.268172504,-0.298356305,-2.818888187,0.779671759,-10.17562696,-8.825000101,bahudari
Lalgudi Jayaraman - Brovabharama.mp3-15,0.134826422,0.193718567,2276.226246,1770.183271,3960.559384,0.159008109,-162.5256061,81.88109168,-50.04454885,37.14178982,-20.28990601,4.903071006,-18.36716359,-5.624411352,-22.99192734,1.247006759,-0.928743038,10.05190344,1.940185769,-7.708324281,-3.507641238,-1.020245599,-1.741998294,4.486717773,-10.9478514,-13.38430609,bahudari
Lalgudi Jayaraman - Brovabharama.mp3-16,0.127638325,0.235419426,1963.480557,1679.340013,3580.095018,0.118736243,-157.7211314,97.50984824,-58.31872058,38.42296754,-21.01063412,0.568636015,-22.04150527,-8.516611675,-24.16507871,-9.345942004,-9.08404288,3.894174783,-1.411943792,-11.70506931,0.286802295,6.017410089,2.463608407,4.548653603,-8.269701226,-10.23758262,bahudari
Lalgudi Jayaraman - Brovabharama.mp3-17,0.101041697,0.238008157,1946.225377,1703.470916,3605.344866,0.113276715,-182.7679255,95.64532194,-52.78446768,37.85065981,-18.76722338,1.796156748,-17.24041071,-9.518940267,-22.67997413,-14.23039856,-12.18409435,3.427548102,-0.725948231,-10.46156729,1.757300484,9.354757942,6.904034608,4.82055163,-7.603823018,-8.531634687,bahudari
Lalgudi Jayaraman - Brovabharama.mp3-18,0.084816657,0.239943842,1747.179246,1667.553532,3344.979773,0.091120386,-194.7406177,110.0810692,-53.11633451,40.08838142,-14.53756677,0.960034117,-18.39977351,-9.331395073,-21.07551176,-14.04267621,-14.56573271,0.49559295,-5.332657614,-11.08224495,-4.487302948,6.633327603,1.342976687,-2.370103383,-5.958104649,-5.308199065,bahudari
Lalgudi Jayaraman - Brovabharama.mp3-19,0.104376793,0.238342326,1788.806795,1624.661763,3343.34645,0.096892838,-168.0430015,111.4103085,-62.43058974,40.98181126,-16.03999055,0.755991143,-20.60264992,-8.650845176,-19.02564712,-12.87674044,-15.31074498,-1.562259691,-6.364023641,-9.64553659,-7.2899661,4.478207701,-1.79761252,-6.207879264,-3.961001103,-1.157709061,bahudari
Lalgudi Jayaraman - Brovabharama.mp3-20,0.143615693,0.226977594,1936.036507,1667.419421,3579.89502,0.113031063,-140.2606998,103.1915868,-59.82942072,37.77025697,-24.42182726,-0.430631535,-24.50347991,-8.793934185,-18.88960325,-13.24497292,-14.05658784,-0.001264575,-5.411976153,-10.73731268,-0.87819121,5.516548534,-0.227851385,-0.226057719,-7.505977285,-6.237731177,bahudari
Vidwan Lalgudi GJR Krishnan and Lalgudi Vijayalakshmi - Sadananda Tandavam.mp3-1,0.015742211,0.256599589,1856.206601,2005.987336,3629.878051,0.10167361,-370.7637221,104.4201236,-15.42038079,20.45735978,-11.76024122,-1.117286004,-1.272998855,5.694401562,-8.997892877,-2.612549783,-5.834119317,0.122487492,-6.891700574,-8.412184487,-5.258621633,0.316077698,4.094584389,6.916882494,11.97009057,8.84785174,bahudari
Vidwan Lalgudi GJR Krishnan and Lalgudi Vijayalakshmi - Sadananda Tandavam.mp3-2,0.016287943,0.227332807,1856.889721,1972.273202,3578.978358,0.097449146,-340.9462058,105.8280465,-22.19375091,24.53838542,-17.55065117,-2.705304078,-3.771052759,7.63426606,-13.45045547,-1.001137268,-9.447318814,-2.542588232,-6.413506066,-6.558304343,-4.445714718,4.676954695,3.858466007,10.14523281,14.64690332,11.82555409,bahudari
Vidwan Lalgudi GJR Krishnan and Lalgudi Vijayalakshmi - Sadananda Tandavam.mp3-3,0.029929636,0.228908377,1610.194923,1818.649419,3118.597809,0.077843823,-322.6604342,115.8971988,-24.76529346,26.37155724,-14.26483084,-5.321229454,-1.792497463,4.978606684,-13.96003004,-4.94350654,-10.83136646,-2.635340313,-5.481308305,-9.264162815,-3.346918747,3.019894253,1.409522213,1.695815943,7.93613573,6.339200354,bahudari
Vidwan Lalgudi GJR Krishnan and Lalgudi Vijayalakshmi - Sadananda Tandavam.mp3-4,0.027779151,0.219792149,1528.853483,1781.086903,2941.615546,0.069363148,-326.9037466,122.3129052,-22.8954265,24.60330783,-13.23500691,-6.54205804,-2.490050007,1.748380948,-13.64679919,-6.874720846,-12.13331033,0.547470362,-3.585181306,-8.439873489,-1.460622472,5.991066128,-0.223177178,-1.69027899,4.32125565,3.725508921,bahudari
Vidwan Lalgudi GJR Krishnan and Lalgudi Vijayalakshmi - Sadananda Tandavam.mp3-5,0.018665524,0.279652588,1561.543794,1806.597854,2983.031962,0.078289776,-354.5833043,125.1615549,-18.68902986,22.43876234,-7.016951522,-0.823222448,-2.30543887,3.022637567,-10.97486873,-7.530380151,-9.405104334,0.723789058,-5.508488035,-8.843038512,-1.539702341,2.585407011,-2.219304521,0.887704593,4.263952128,4.110063681,bahudari
Vidwan Lalgudi GJR Krishnan and Lalgudi Vijayalakshmi - Sadananda Tandavam.mp3-6,0.014688621,0.348423687,1628.05804,1894.698533,3073.681414,0.087490023,-369.2957427,127.5417382,-12.39743552,20.1826283,-2.643131067,7.164535803,-4.662866492,5.942552066,-11.20584758,-6.387165816,-5.36249095,2.282864252,-8.546668531,-5.436393005,-0.375657957,3.876956634,-2.77728863,2.797093451,2.734746236,3.221155398,bahudari
